sample_key,mf_status,mf_error,mf_hq_mean,mf_hq_std,mf_hq_min,mf_hq_max,mf_tau_mean,mf_tau_std,mf_alpha_mean,mf_alpha_std,mf_spectrum_width,mf_spectrum_peak_alpha,mf_spectrum_peak_f,mf_spectrum_asymmetry,mf_num_scales,mf_num_q
healthy::1::vowels::a_n,ok,,0.33667229587559916,0.08049835629582346,0.23237225692839697,0.4767220324887602,-1.2473211438946064,1.090834686086452,0.35800537502164653,0.14604243660174757,0.40953868809251626,0.2965427734633028,0.9939898351442258,0.3688929355442784,40,20
healthy::2::vowels::a_n,ok,,0.5632115038801793,0.16976273678823925,0.36165699991971734,0.8565780330568208,-1.5156042852682117,1.8757574053054715,0.6173474733427025,0.2911133155457631,0.7628702165285679,0.46449371265487593,0.9904573339683562,0.2973408470608358,40,20
healthy::3::vowels::a_n,ok,,0.3447706931942027,0.10174833792541962,0.22558545471869065,0.5312724440484167,-1.3087324206453093,1.1522919070012705,0.3846348582464961,0.18534454234449868,0.5031590587077477,0.2869721132327224,0.9934926668977138,0.24602195527519935,40,20
healthy::4::vowels::a_n,ok,,0.47069592230930296,0.17122363528401943,0.261010517881544,0.7554680425092251,-1.5229075233305924,1.5811608716299228,0.5150537426085627,0.28680661375542177,0.7512826411283497,0.3737875695106252,0.9885453402558758,0.3363100335459587,40,20
healthy::5::vowels::a_n,ok,,0.4502945132258901,0.2123836714171888,0.19039286214151485,0.78715181868034,-1.6497569433179464,1.5422380692759248,0.4957574919365862,0.33943580166373166,0.8625651571729396,0.329515587415948,0.9819365671872877,0.32587942311509493,40,20
healthy::6::vowels::a_n,ok,,0.4005464555035318,0.09337385522050773,0.30160416444745036,0.5796006355733799,-1.28094032904121,1.3223293281357142,0.44839668073177175,0.17328424056088898,0.4788589903734122,0.3450372836980301,0.9931807668691293,0.15182351428070245,40,20
healthy::7::vowels::a_n,ok,,0.5083974430154878,0.13085560086915027,0.3554610457582087,0.7287183881517898,-1.3991664939043627,1.6589709334210991,0.5484960552806724,0.21704834327428446,0.5622050139758348,0.43273583033390195,0.98905007666075,0.23584266958082745,40,20
healthy::8::vowels::a_n,ok,,0.4220228458582665,0.1711095384358326,0.21988068944588035,0.7129451284558913,-1.5199579876042288,1.4494325494736375,0.47430340949895083,0.287806202865031,0.7375876231631011,0.3232749147590196,0.9894647001040677,0.2913661295623795,40,20
healthy::9::vowels::a_n,ok,,0.6312078483357827,0.268513191568393,0.3007460450357336,1.043009843047914,-1.8206667167911372,2.1210103590685048,0.6796418159327091,0.41715956637314755,1.0449221765605659,0.47638923202127603,0.9792693627745177,0.3516763429920605,40,20
healthy::10::vowels::a_n,ok,,0.6165145561554224,0.14610893748375217,0.43841895140146636,0.853272292364309,-1.447402558121187,1.9887710784995758,0.6512328574676829,0.23810596071548973,0.6100843275369483,0.5356689069771736,0.986699308526152,0.29970259471725164,40,20
